,Date,Open*,High,Low,Close**,Volume,Market Cap
417,"Sep 16, 2017",3637.75,3808.84,3487.79,3625.04,1818400000,60068678195
418,"Sep 15, 2017",3166.3,3733.45,2946.62,3637.52,4148069888,60267886368
419,"Sep 14, 2017",3875.37,3920.6,3153.86,3154.95,2716310016,52265453816
420,"Sep 13, 2017",4131.98,4131.98,3789.92,3882.59,2219409920,64311123695
421,"Sep 12, 2017",4168.88,4344.65,4085.22,4130.81,1864530048,68412822896
422,"Sep 11, 2017",4122.47,4261.67,4099.4,4161.27,1557330048,68907352119
423,"Sep 10, 2017",4229.34,4245.44,3951.04,4122.94,1679090048,68263826801
424,"Sep 09, 2017",4229.81,4308.82,4114.11,4226.06,1386230016,69963847482
425,"Sep 08, 2017",4605.16,4661.0,4075.18,4228.75,2700890112,69999555938
426,"Sep 07, 2017",4589.14,4655.04,4491.33,4599.88,1844620032,76132843874
427,"Sep 06, 2017",4376.59,4617.25,4376.59,4597.12,2172100096,76077049312
428,"Sep 05, 2017",4228.29,4427.84,3998.11,4376.53,2697969920,72417728536
429,"Sep 04, 2017",4591.63,4591.63,4108.4,4236.31,2987330048,70087101256
430,"Sep 03, 2017",4585.27,4714.08,4417.59,4582.96,1933190016,75812181334
431,"Sep 02, 2017",4901.42,4975.04,4469.24,4578.77,2722139904,75734114962
432,"Sep 01, 2017",4701.76,4892.01,4678.53,4892.01,2599079936,80905039782
433,"Aug 31, 2017",4555.59,4736.05,4549.4,4703.39,1944930048,77775374625
434,"Aug 30, 2017",4570.36,4626.52,4471.41,4565.3,1937849984,75482724984
435,"Aug 29, 2017",4389.21,4625.68,4352.13,4579.02,2486080000,75699786263
436,"Aug 28, 2017",4384.45,4403.93,4224.64,4382.66,1959330048,72445588933
437,"Aug 27, 2017",4345.1,4416.59,4317.29,4382.88,1537459968,72441993792
438,"Aug 26, 2017",4372.06,4379.28,4269.52,4352.4,1511609984,71929882019
439,"Aug 25, 2017",4332.82,4455.7,4307.35,4371.6,1727970048,72241507489
440,"Aug 24, 2017",4137.6,4376.39,4130.26,4334.68,2037750016,71625870868
441,"Aug 23, 2017",4089.01,4255.78,4078.41,4151.52,2369819904,68593954170
442,"Aug 22, 2017",3998.35,4128.76,3674.58,4100.52,3764239872,67743202431
443,"Aug 21, 2017",4090.48,4109.14,3988.6,4001.74,2800890112,66106992038
444,"Aug 20, 2017",4189.31,4196.29,4069.88,4087.66,2109769984,67520478838
445,"Aug 19, 2017",4137.75,4243.26,3970.55,4193.7,2975820032,69265141208
446,"Aug 18, 2017",4324.34,4370.13,4015.4,4160.62,2941710080,68710871037
447,"Aug 17, 2017",4384.44,4484.7,4243.71,4331.69,2553359872,71527949443
448,"Aug 16, 2017",4200.34,4381.23,3994.42,4376.63,2272039936,72260183303
449,"Aug 15, 2017",4326.99,4455.97,3906.18,4181.93,3258050048,69038855081
450,"Aug 14, 2017",4066.1,4325.13,3989.16,4325.13,2463089920,71394704654
451,"Aug 13, 2017",3880.04,4208.39,3857.8,4073.26,3159089920,67230528989
452,"Aug 12, 2017",3650.63,3949.92,3613.7,3884.71,2219589888,64111163866
453,"Aug 11, 2017",3373.82,3679.72,3372.12,3650.62,2021190016,60241844923
454,"Aug 10, 2017",3341.84,3453.45,3319.47,3381.28,1515110016,55791120000
455,"Aug 09, 2017",3420.4,3422.76,3247.67,3342.47,1468960000,55145196472
456,"Aug 08, 2017",3370.22,3484.85,3345.83,3419.94,1752760064,56417337745
457,"Aug 07, 2017",3212.78,3397.68,3180.89,3378.94,1482279936,55734179251
458,"Aug 06, 2017",3257.61,3293.29,3155.6,3213.94,1105030016,53006426108
459,"Aug 05, 2017",2897.63,3290.01,2874.83,3252.91,1945699968,53643452554
460,"Aug 04, 2017",2806.93,2899.33,2743.72,2895.89,1002120000,47749461443
461,"Aug 03, 2017",2709.56,2813.31,2685.14,2804.73,804796992,46239970790
462,"Aug 02, 2017",2727.13,2762.53,2668.59,2710.67,1094950016,44684649516
463,"Aug 01, 2017",2871.3,2921.35,2685.61,2718.26,1324669952,44804603885
464,"Jul 31, 2017",2763.24,2889.62,2720.61,2875.34,860574976,47388334773
465,"Jul 30, 2017",2724.39,2758.53,2644.85,2757.18,705942976,45435913868
466,"Jul 29, 2017",2807.02,2808.76,2692.8,2726.45,803745984,44924534585
467,"Jul 28, 2017",2679.73,2897.45,2679.73,2809.01,1380099968,46279316161
468,"Jul 27, 2017",2538.71,2693.32,2529.34,2671.78,789104000,44013533097
469,"Jul 26, 2017",2577.77,2610.76,2450.8,2529.45,937404032,41663929265
470,"Jul 25, 2017",2757.5,2768.08,2480.96,2576.48,1460089984,42433788244
471,"Jul 24, 2017",2732.7,2777.26,2699.19,2754.86,866473984,45366654309
472,"Jul 23, 2017",2808.1,2832.18,2653.94,2730.4,1072840000,44957775265
473,"Jul 22, 2017",2668.63,2862.42,2657.71,2810.12,1177129984,46264340367
474,"Jul 21, 2017",2838.41,2838.41,2621.85,2667.76,1489449984,43915296559
475,"Jul 20, 2017",2269.89,2900.7,2269.89,2817.6,2249260032,46376428080
476,"Jul 19, 2017",2323.08,2397.17,2260.23,2273.43,1245100032,37415031061
477,"Jul 18, 2017",2233.52,2387.61,2164.77,2318.88,1512450048,38158677672
478,"Jul 17, 2017",1932.62,2230.49,1932.62,2228.41,1201760000,36665393517
479,"Jul 16, 2017",1991.98,2058.77,1843.03,1929.82,1182870016,31748939343
480,"Jul 15, 2017",2230.12,2231.14,1990.41,1998.86,993608000,32880721300
481,"Jul 14, 2017",2360.59,2363.25,2183.22,2233.34,882502976,36734255488
482,"Jul 13, 2017",2402.7,2425.22,2340.83,2357.9,835769984,38778935907
483,"Jul 12, 2017",2332.77,2423.71,2275.14,2398.84,1117410048,39447604438
484,"Jul 11, 2017",2385.89,2413.47,2296.81,2337.79,1329760000,38438497236
485,"Jul 10, 2017",2525.25,2537.16,2321.13,2372.56,1111200000,39005033499
486,"Jul 09, 2017",2572.61,2635.49,2517.59,2518.44,527856000,41397076604
487,"Jul 08, 2017",2520.27,2571.34,2492.31,2571.34,733329984,42262222823
488,"Jul 07, 2017",2608.59,2916.14,2498.87,2518.66,917411968,41391217675
489,"Jul 06, 2017",2608.1,2616.72,2581.69,2608.56,761956992,42863758795
